FSS_LAB_NUM,FSF_COLL_DATETIME,FSF_STA_ID,FSF_SITE_NO,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSF_SPG_CODE,FSF_SSC_CODE,FSC_COL_ID,PSP_FAMILY_GROUP_ID,PSP_SPE_CODE_ALPHA,PSP_SPE_CODE_NUM,PSP_TCM_COLLECT_METHOD_CODE,PSP_TYPE,SPD_SPECIES_LENGTH,SPD_SPECIES_WEIGHT,SPD_SEND_LAB_FLAG,FSS_TISSUE_SEDIMENT_IND,T_or_S,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM.1,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_ALIQUOTS_NUM,FSS_ANA_RECEIVE_FLAG,FSS_PRIORITY_CODE,FSS_LAB_CODE,FSS_SMP_CODE,FSS_ASE_WEIGHT,ASE_Date,tblMSpecData.Compound,X13C.triPCB.28..SSTD.,X13C.tetraPCB.52..SSTD.,X13C.pentaPCB.118..SSTD.,X13C.hexaPCB.153..SSTD.,X13C.heptaPCB.180..SSTD.,X13C.octaPCB.202..SSTD.,X13C.nonaPCB.206..SSTD.,X13C.decaPCB.209..SSTD.,FSS_WATER_CONTENT,FSS_LIPID_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,Qry_Base_Data_PCB_MSpec.Compound,TSR_CAS_NUM,TSR_QA_FLAG,TSR_CHEMIST_NAME,TSR_Chemist_Sign_Date,TSR_CBP_BOUND,TSR_LAB_COMMENT,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY,TSR_xRT,TSR_aRT,FSF_COLL_DATETIME,FSF_STA_ID,FSF_LAB_SENT_DATE,FSF_LAB_RECV_DATE,FSS_TISSUE_SEDIMENT_IND,FSS_CONTAINER_ID_DESC,FSS_CONTAINER_ID,FSS_LAB_NUM,FSS_LAB_RECEIVE_DATE,FSS_PROCESSING_CODE,FSS_DIGESTION_DATE,FSS_WATER_CONTENT,TSR_RECEIVED_DATE,TSR_LAB_SEQ_NUM,TSR_VALUE,TSR_PG_SPC_PARAMETER_CODE,TSR_CAS_NUM,TSR_CHEMIST_NAME,TSR_CHEMIST_SIGN_DATE,TSR_CONCENTRATION_VALUE,TSR_CORR_RECOV_DRY,TSR_UNCORR_WET,TSR_CORR_RECOV_WET,TSR_UNCORR_DRY
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,1.267,,83-32-9,,HALE,,,,1.267,1.6293797163,,0.712038934230804,1.267,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,1.267,83-32-9,83-32-9,HALE,,1.267,1.6293797163,,0.712038934230804,1.267
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,1.312,,2245-38-7,,HALE,,,,1.312,1.6872503455,,0.737328410148621,1.312,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,1.312,2245-38-7,2245-38-7,HALE,,1.312,1.6872503455,,0.737328410148621,1.312
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,6.59,,86-73-7,,HALE,,,,6.59,8.4748321472,,3.70350170135498,6.59,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,6.59,86-73-7,86-73-7,HALE,,6.59,8.4748321472,,3.70350170135498,6.59
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,11.055,,85-01-8,,HALE,,,,11.055,14.216884581,,6.21277856826782,11.055,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,11.055,85-01-8,85-01-8,HALE,,11.055,14.216884581,,6.21277856826782,11.055
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,20.04,,,,HALE,,,,20.04,25.771720217,,11.2622413635254,20.04,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,20.04,120-12-7,,HALE,,20.04,25.771720217,,11.2622413635254,20.04
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,2.948,,832-69-9,,HALE,,,,2.948,3.7911692215,,1.65674090385437,2.948,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,2.948,832-69-9,832-69-9,HALE,,2.948,3.7911692215,,1.65674090385437,2.948
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,86.55,,206-44-0,,HALE,,,,86.55,111.30451022,,48.6400718688965,86.55,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,86.55,206-44-0,206-44-0,HALE,,86.55,111.30451022,,48.6400718688965,86.55
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,59.346,,129-00-0,,HALE,,,,59.346,76.319785828,,33.3517456054688,59.346,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,59.346,129-00-0,129-00-0,HALE,,59.346,76.319785828,,33.3517456054688,59.346
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,39.693,,56-55-3,,HALE,,,,39.693,51.045753023,,22.3069934844971,39.693,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,39.693,56-55-3,56-55-3,HALE,,39.693,51.045753023,,22.3069934844971,39.693
V98S002,,OSS000.20,,,,,,,,,,,,,,,S,,R,1,,,,,,,,,,,,,,,,,,,,0.562674102783203,,,1,53.102,,218-01-9,,HALE,,,,53.102,68.289914519,,29.8426933288574,53.102,,,,OSS000.20,,,S,R,1,V98S002,,,,0.562674102783203,,1,53.102,218-01-9,218-01-9,HALE,,53.102,68.289914519,,29.8426933288574,53.102
